trial,ts_iso,compute_s,auth_s,cpu_percent,sys_mem_percent,rss_mb,rss_delta_kb,vms_mb,peak_rss_mb
1,2025-10-22T09:16:13,0.284854,0.453377,31.1,50.0,28.605,0.0,50.164,
2,2025-10-22T09:16:14,0.280699,0.441132,26.4,50.0,28.73,128.0,50.121,
3,2025-10-22T09:16:15,0.278758,0.449448,29.0,50.1,28.832,104.0,50.371,
4,2025-10-22T09:16:15,0.279671,0.441263,27.1,50.0,28.742,-92.0,50.133,
5,2025-10-22T09:16:16,0.278763,0.449311,29.2,50.1,28.742,0.0,50.133,
6,2025-10-22T09:16:17,0.278763,0.44202,26.6,50.0,28.746,4.0,50.137,
7,2025-10-22T09:16:18,0.27835,0.469817,31.2,50.1,28.75,4.0,50.141,
8,2025-10-22T09:16:18,0.279138,0.439237,27.2,50.0,28.754,4.0,50.145,
9,2025-10-22T09:16:19,0.27927,0.44656,28.3,50.1,28.754,0.0,50.145,
10,2025-10-22T09:16:20,0.293152,0.439802,28.3,50.0,28.758,4.0,50.148,
11,2025-10-22T09:16:21,0.278068,0.4393,27.4,50.0,28.758,0.0,50.148,
12,2025-10-22T09:16:21,0.283606,0.441892,29.2,50.0,28.762,4.0,50.152,
13,2025-10-22T09:16:22,0.280529,0.443786,26.9,50.0,28.762,0.0,50.152,
14,2025-10-22T09:16:23,0.28476,0.46813,31.6,50.0,28.766,4.0,50.156,
15,2025-10-22T09:16:24,0.279663,0.444214,26.1,50.0,28.766,0.0,50.156,
16,2025-10-22T09:16:24,0.306503,0.458061,34.3,50.1,28.77,4.0,50.16,
17,2025-10-22T09:16:25,0.309862,0.447998,31.1,50.1,28.77,0.0,50.16,
18,2025-10-22T09:16:26,0.282821,0.440871,28.7,50.0,28.77,0.0,50.16,
19,2025-10-22T09:16:27,0.278421,0.439847,26.8,50.1,28.773,4.0,50.164,
20,2025-10-22T09:16:27,0.284084,0.438943,29.2,50.1,28.773,0.0,50.164,
21,2025-10-22T09:16:28,0.284506,0.443304,28.6,50.1,28.773,0.0,50.164,
22,2025-10-22T09:16:29,0.283278,0.443628,29.3,50.1,28.777,4.0,50.168,
23,2025-10-22T09:16:30,0.279153,0.443391,26.6,50.0,28.777,0.0,50.168,
24,2025-10-22T09:16:30,0.282779,0.438298,29.5,50.0,28.781,4.0,50.172,
25,2025-10-22T09:16:31,0.278446,0.442032,26.7,50.1,28.785,4.0,50.176,
26,2025-10-22T09:16:32,0.282837,0.440068,28.8,50.1,28.785,0.0,50.176,
27,2025-10-22T09:16:32,0.278546,0.438947,27.3,50.1,28.789,4.0,50.18,
28,2025-10-22T09:16:33,0.287261,0.44099,30.4,50.1,28.789,0.0,50.18,
29,2025-10-22T09:16:34,0.278855,0.439333,26.5,50.0,28.793,4.0,50.184,
30,2025-10-22T09:16:35,0.283097,0.440809,29.5,50.0,28.793,0.0,50.184,
31,2025-10-22T09:16:35,0.279268,0.443181,27.0,50.0,28.797,4.0,50.188,
32,2025-10-22T09:16:36,0.282549,0.441375,29.8,50.0,28.797,0.0,50.188,
33,2025-10-22T09:16:37,0.278639,0.440618,26.8,50.0,28.797,0.0,50.188,
34,2025-10-22T09:16:38,0.281236,0.467798,30.3,50.0,28.801,4.0,50.191,
35,2025-10-22T09:16:38,0.278888,0.473033,26.9,50.1,28.805,4.0,50.195,
36,2025-10-22T09:16:39,0.283174,0.441805,28.8,50.1,28.805,0.0,50.195,
37,2025-10-22T09:16:40,0.279525,0.441716,27.3,50.1,28.809,4.0,50.199,
38,2025-10-22T09:16:41,0.281489,0.493367,28.2,50.1,28.809,0.0,50.199,
39,2025-10-22T09:16:41,0.278987,0.47428,26.6,50.1,28.809,0.0,50.199,
40,2025-10-22T09:16:42,0.281691,0.442154,29.5,50.1,28.812,4.0,50.203,
41,2025-10-22T09:16:43,0.27679,0.489604,28.0,50.0,28.812,0.0,50.203,
42,2025-10-22T09:16:44,0.280756,0.441189,29.2,50.1,28.812,0.0,50.203,
43,2025-10-22T09:16:44,0.277082,0.441918,27.0,50.0,28.816,4.0,50.207,
44,2025-10-22T09:16:45,0.280278,0.443641,29.4,50.1,28.816,0.0,50.207,
45,2025-10-22T09:16:46,0.277084,0.440099,26.8,50.1,28.82,4.0,50.211,
46,2025-10-22T09:16:47,0.277598,0.496255,28.9,50.1,28.82,0.0,50.211,
47,2025-10-22T09:16:47,0.283882,0.474443,26.6,50.1,28.824,4.0,50.215,
48,2025-10-22T09:16:48,0.289971,0.441151,30.7,50.1,28.824,0.0,50.215,
49,2025-10-22T09:16:49,0.277211,0.43953,26.6,50.0,28.828,4.0,50.219,
50,2025-10-22T09:16:50,0.279537,0.487178,29.2,50.0,28.832,4.0,50.223,
51,2025-10-22T09:16:50,0.276849,0.472461,27.3,50.0,28.832,0.0,50.223,
52,2025-10-22T09:16:51,0.280293,0.44401,28.9,50.1,28.836,4.0,50.227,
53,2025-10-22T09:16:52,0.277171,0.441686,26.9,50.0,28.836,0.0,50.227,
54,2025-10-22T09:16:53,0.279935,0.455966,30.2,50.1,28.836,0.0,50.227,
55,2025-10-22T09:16:53,0.276698,0.440817,26.6,50.0,28.84,4.0,50.23,
56,2025-10-22T09:16:54,0.279321,0.486528,29.8,50.1,28.84,0.0,50.23,
57,2025-10-22T09:16:55,0.276657,0.472591,26.7,50.1,28.844,4.0,50.234,
58,2025-10-22T09:16:56,0.280076,0.440905,29.6,50.0,28.844,0.0,50.234,
59,2025-10-22T09:16:56,0.276987,0.439892,26.9,50.1,28.848,4.0,50.238,
60,2025-10-22T09:16:57,0.281106,0.488819,29.9,50.0,28.848,0.0,50.238,
61,2025-10-22T09:16:58,0.276937,0.482795,28.1,50.0,28.852,4.0,50.242,
62,2025-10-22T09:16:59,0.280097,0.441115,29.2,50.0,28.852,0.0,50.242,
63,2025-10-22T09:16:59,0.27697,0.439853,26.6,50.0,28.855,4.0,50.246,
64,2025-10-22T09:17:00,0.279393,0.485946,28.6,50.0,28.855,0.0,50.246,
65,2025-10-22T09:17:01,0.276839,0.448983,28.1,50.1,28.859,4.0,50.25,
66,2025-10-22T09:17:02,0.280421,0.442012,29.4,50.0,28.859,0.0,50.25,
67,2025-10-22T09:17:02,0.282579,0.440064,26.1,50.1,28.863,4.0,50.254,
68,2025-10-22T09:17:03,0.284269,0.44655,31.4,50.0,28.863,0.0,50.254,
69,2025-10-22T09:17:04,0.277225,0.442195,27.0,50.0,28.863,0.0,50.254,
70,2025-10-22T09:17:05,0.277315,0.453002,29.2,50.0,28.863,0.0,50.254,
71,2025-10-22T09:17:05,0.27715,0.442754,27.0,50.0,28.867,4.0,50.258,
72,2025-10-22T09:17:06,0.276354,0.455196,29.2,50.0,28.867,0.0,50.258,
73,2025-10-22T09:17:07,0.276733,0.442399,26.7,50.0,28.871,4.0,50.262,
74,2025-10-22T09:17:08,0.27655,0.476486,30.3,50.0,28.871,0.0,50.262,
75,2025-10-22T09:17:08,0.277013,0.441484,26.3,50.0,28.875,4.0,50.266,
